,SRR3917608,SRR3736988,SRR3736989,SRR3917587,SRR3917627,SRR3917619,SRR3736999,SRR3736998,SRR3737029,SRR3737001,SRR3737015,SRR3917694,SRR3730381,SRR3730395,SRR3730356,SRR3730357,SRR3730394,SRR3730380,SRR3917695,SRR3737014,SRR3737000,SRR3737028,SRR3737016,SRR3737002,SRR3917697,SRR3730396,SRR3730382,SRR3730355,SRR3730369,SRR3730368,SRR3730354,SRR3730383,SRR3730397,SRR3917696,SRR3737003,SRR3737017,SRR3737013,SRR3737007,SRR3917686,SRR3917692,SRR3730393,SRR3730387,SRR3730378,SRR3730350,SRR3730345,SRR3730351,SRR3730379,SRR3730386,SRR3730392,SRR3917693,SRR3917687,SRR3737006,SRR3737012,SRR3737004,SRR3737010,SRR3917691,SRR3730384,SRR3730390,SRR3730347,SRR3730353,SRR3730352,SRR3730346,SRR3730391,SRR3730385,SRR3917690,SRR3737011,SRR3737005,SRR3737020,SRR3917689,SRR3730388,SRR3730363,SRR3730377,SRR3730376,SRR3730362,SRR3730389,SRR3917688,SRR3737021,SRR3737009,SRR3737023,SRR3730374,SRR3730360,SRR3730348,SRR3730349,SRR3730361,SRR3730375,SRR3917648,SRR3737022,SRR3737026,SRR3730359,SRR3730371,SRR3730365,SRR3730364,SRR3730370,SRR3730358,SRR3917665,SRR3737025,SRR3737031,SRR3917698,SRR3730399,SRR3730400,SRR3730366,SRR3730372,SRR3730373,SRR3730367,SRR3730398,SRR3737018,SRR3737030,SRR3737024,SRR3917563,SRR3736995,SRR3736994,SRR3917562,SRR3736996,SRR3736997,SRR3736987,SRR3736993,SRR3736986,SRR3736990,SRR3736984,SRR3736985,SRR3736991
54913,0,0,0,0,0,0,0,0,0,0,0,0,10,13,6,3,0,4,0,0,0,0,0,0,0,4,6,0,18,13,3,8,11,0,0,0,1,0,0,0,6,5,3,12,4,16,11,16,10,0,0,0,1,0,0,0,0,23,8,9,12,3,0,6,0,0,0,0,0,18,21,0,0,6,32,0,0,0,0,0,0,6,20,3,0,0,0,0,2,0,9,0,0,22,0,0,0,1,12,0,9,0,21,3,18,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1262993,1,1,1,5,2,2,3,2,1,2,2,1,0,0,0,0,0,0,2,1,2,2,0,3,9,0,0,0,0,0,0,0,0,1,3,2,6,1,1,2,0,0,0,0,0,0,0,0,0,1,2,2,6,2,1,3,0,0,0,0,0,0,0,0,1,2,3,1,2,0,0,0,0,0,0,3239,3,8,1284,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,1,3,2,5,0,0,0,0,0,0,0,1,4,1,2,2,1,2,1015,2,7,2,9,3,2,3,3
712359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1262974,0,0,0,7623,2,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,2166,0,0,0,0,0,0,0,0,2,0,0,0,0,8638,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,0,2642,0,0,0,0,0,0,0,0,0,0,0,950,0,0,1178,0,0,0,0,1079,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,64,0,8,3,27,0,0,0,0,0,0,0,0,1421,0,2722,0,0,2,0,0,0
106649,0,0,0,0,0,0,0,0,0,0,0,0,0,273,49,57,242,0,0,0,0,0,0,0,0,22,260,57,154,46,91,0,0,0,0,0,0,0,0,0,122,0,14,50,20,77,77,182,0,0,0,0,0,0,0,0,598,0,0,69,111,0,0,439,0,0,0,0,0,77,27,0,0,804,0,0,0,0,0,133,0,184,0,0,285,0,0,0,62,177,0,261,0,0,0,0,0,0,104,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1262863,2,3,2,26,9,1,1,1,2,1,2,1,0,0,0,0,0,0,1,4,1,1,0,56,4,0,0,0,0,0,0,0,0,0,1,3,8,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,2,0,0,0,0,0,0,0,0,1,2,1,1,4,0,0,0,0,0,0,4,0,4,3,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,2,0,2,1,2,1,2,2,117,6,2,3,3,2,1,4
971,1,2,2,8,5,2,6,2,7,2,2,2,0,0,0,0,0,0,13,2,4,7,0,4,5,0,0,0,0,0,0,132,0,1,3,5,9,5,6,9,0,0,0,162,452,0,6,0,0,1,1,5,10,6,1,5,213,0,0,0,0,0,0,0,2,4,4,3,2,0,0,0,0,0,0,3,10,6,8,0,714,0,0,0,0,4,2,4,10,0,0,0,0,0,2,4,3,8,0,0,0,0,0,0,0,3,6,2,3,2,4,4,9,4,9,2,13,4,2,3,4
1950851,0,0,0,14,1,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,15,1,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,1,0,0,6,0,6,1,18,0,14,1,0,1,1
1965576,9,7,34,27,33,18,26,29,12,23,18,35,0,0,0,0,0,0,13,5,68,46,0,21,18,3,0,0,0,0,0,0,0,39,23,25,36,4,697,18,0,0,0,0,56,0,0,0,0,5,23,68,97,10,66,16,0,0,0,0,0,0,0,0,3,18,19,34,14,0,0,0,0,0,0,10,20,33,33,0,0,4,0,0,0,19,46,20,0,0,0,0,0,0,23,15,18,66,0,0,0,0,17,0,0,12,43,19,33,54,102,53,39,13,35,11,88,41,31,21,33
1262797,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,0,7,0,0,0,0
